"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"109",6.7,2.5,5.8,1.8,"virginica"
"22",5.1,3.7,1.5,0.4,"setosa"
"36",5,3.2,1.2,0.2,"setosa"
"130",7.2,3,5.8,1.6,"virginica"
"20",5.1,3.8,1.5,0.3,"setosa"
"69",6.2,2.2,4.5,1.5,"versicolor"
"45",5.1,3.8,1.9,0.4,"setosa"
"149",6.2,3.4,5.4,2.3,"virginica"
"148",6.5,3,5.2,2,"virginica"
"75",6.4,2.9,4.3,1.3,"versicolor"
"83",5.8,2.7,3.9,1.2,"versicolor"
"133",6.4,2.8,5.6,2.2,"virginica"
"3",4.7,3.2,1.3,0.2,"setosa"
"76",6.6,3,4.4,1.4,"versicolor"
"7",4.6,3.4,1.4,0.3,"setosa"
"125",6.7,3.3,5.7,2.1,"virginica"
"63",6,2.2,4,1,"versicolor"
"12",4.8,3.4,1.6,0.2,"setosa"
"5",5,3.6,1.4,0.2,"setosa"
"67",5.6,3,4.5,1.5,"versicolor"
"129",6.4,2.8,5.6,2.1,"virginica"
"21",5.4,3.4,1.7,0.2,"setosa"
"48",4.6,3.2,1.4,0.2,"setosa"
"100",5.7,2.8,4.1,1.3,"versicolor"
"30",4.7,3.2,1.6,0.2,"setosa"
"141",6.7,3.1,5.6,2.4,"virginica"
"142",6.9,3.1,5.1,2.3,"virginica"
"117",6.5,3,5.5,1.8,"virginica"
"124",6.3,2.7,4.9,1.8,"virginica"
"57",6.3,3.3,4.7,1.6,"versicolor"
"53",6.9,3.1,4.9,1.5,"versicolor"
"55",6.5,2.8,4.6,1.5,"versicolor"
"66",6.7,3.1,4.4,1.4,"versicolor"
"49",5.3,3.7,1.5,0.2,"setosa"
"28",5.2,3.5,1.5,0.2,"setosa"
"56",5.7,2.8,4.5,1.3,"versicolor"
"135",6.1,2.6,5.6,1.4,"virginica"
"46",4.8,3,1.4,0.3,"setosa"
"35",4.9,3.1,1.5,0.2,"setosa"
"38",4.9,3.6,1.4,0.1,"setosa"
"92",6.1,3,4.6,1.4,"versicolor"
"143",5.8,2.7,5.1,1.9,"virginica"
"121",6.9,3.2,5.7,2.3,"virginica"
"97",5.7,2.9,4.2,1.3,"versicolor"
"120",6,2.2,5,1.5,"virginica"
"11",5.4,3.7,1.5,0.2,"setosa"
"78",6.7,3,5,1.7,"versicolor"
"50",5,3.3,1.4,0.2,"setosa"
"54",5.5,2.3,4,1.3,"versicolor"
"9",4.4,2.9,1.4,0.2,"setosa"
"104",6.3,2.9,5.6,1.8,"virginica"
"126",7.2,3.2,6,1.8,"virginica"
"19",5.7,3.8,1.7,0.3,"setosa"
"115",5.8,2.8,5.1,2.4,"virginica"
"98",6.2,2.9,4.3,1.3,"versicolor"
"77",6.8,2.8,4.8,1.4,"versicolor"
"6",5.4,3.9,1.7,0.4,"setosa"
"111",6.5,3.2,5.1,2,"virginica"
"8",5,3.4,1.5,0.2,"setosa"
"23",4.6,3.6,1,0.2,"setosa"
"42",4.5,2.3,1.3,0.3,"setosa"
"13",4.8,3,1.4,0.1,"setosa"
"33",5.2,4.1,1.5,0.1,"setosa"
"29",5.2,3.4,1.4,0.2,"setosa"
"82",5.5,2.4,3.7,1,"versicolor"
"74",6.1,2.8,4.7,1.2,"versicolor"
"144",6.8,3.2,5.9,2.3,"virginica"
"58",4.9,2.4,3.3,1,"versicolor"
"93",5.8,2.6,4,1.2,"versicolor"
"59",6.6,2.9,4.6,1.3,"versicolor"
"18",5.1,3.5,1.4,0.3,"setosa"
"26",5,3,1.6,0.2,"setosa"
"95",5.6,2.7,4.2,1.3,"versicolor"
"101",6.3,3.3,6,2.5,"virginica"
"132",7.9,3.8,6.4,2,"virginica"
"52",6.4,3.2,4.5,1.5,"versicolor"
"140",6.9,3.1,5.4,2.1,"virginica"
"71",5.9,3.2,4.8,1.8,"versicolor"
"96",5.7,3,4.2,1.2,"versicolor"
"122",5.6,2.8,4.9,2,"virginica"
"61",5,2,3.5,1,"versicolor"
"4",4.6,3.1,1.5,0.2,"setosa"
"14",4.3,3,1.1,0.1,"setosa"
"39",4.4,3,1.3,0.2,"setosa"
"84",6,2.7,5.1,1.6,"versicolor"
"65",5.6,2.9,3.6,1.3,"versicolor"
"91",5.5,2.6,4.4,1.2,"versicolor"
"145",6.7,3.3,5.7,2.5,"virginica"
"103",7.1,3,5.9,2.1,"virginica"
"87",6.7,3.1,4.7,1.5,"versicolor"
"131",7.4,2.8,6.1,1.9,"virginica"
"34",5.5,4.2,1.4,0.2,"setosa"
"80",5.7,2.6,3.5,1,"versicolor"
"37",5.5,3.5,1.3,0.2,"setosa"
"25",4.8,3.4,1.9,0.2,"setosa"
"47",5.1,3.8,1.6,0.2,"setosa"
"94",5,2.3,3.3,1,"versicolor"
"146",6.7,3,5.2,2.3,"virginica"
"105",6.5,3,5.8,2.2,"virginica"
"10",4.9,3.1,1.5,0.1,"setosa"
"147",6.3,2.5,5,1.9,"virginica"
"41",5,3.5,1.3,0.3,"setosa"
"17",5.4,3.9,1.3,0.4,"setosa"
"15",5.8,4,1.2,0.2,"setosa"
"90",5.5,2.5,4,1.3,"versicolor"
"134",6.3,2.8,5.1,1.5,"virginica"
"112",6.4,2.7,5.3,1.9,"virginica"
"118",7.7,3.8,6.7,2.2,"virginica"
"138",6.4,3.1,5.5,1.8,"virginica"
"86",6,3.4,4.5,1.6,"versicolor"
"108",7.3,2.9,6.3,1.8,"virginica"
"139",6,3,4.8,1.8,"virginica"
